ID,NOM,VILLE,ETAT,LATITUDE,LONGITUDE,A_DISTANCE_SEULEMENT,NOMBRE_ETUDIANTS,AGE_ENTREE,COUT_MOYEN_ANNEE_ACADEMIE,TAUX_ADMISSION,DEFAUT_PAIEMENT_2ANNEES,DEFAUT_PAIEMENT_3ANNEES
2115300,Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,27.761183,-82.681534,0.0,368,29.519578313,,,0.0,
151900,Santa Fe College,Gainesville,FL,29.681037,-82.433143,0.0,3436,22.499367089,14258.0,,0.192,0.076
560700,Suncoast Technical College,Sarasota,FL,27.285486,-82.500827,0.0,138,26.927007299,,,0.0,
152000,Seminole State College of Florida,Sanford,FL,28.745482,-81.308003,0.0,4507,24.593502174,13060.0,,0.13,0.053
990200,Sheridan Technical College,Hollywood,FL,26.031736,-80.198024,0.0,508,28.113614104,,,0.0,
807500,St. John Vianney College Seminary,Miami,FL,25.742579,-80.337411,0.0,13,26.2,37200.0,1.0,0.0,
152300,Saint Johns River State College,Palatka,FL,29.647516,-81.681387,0.0,1425,25.188514851,11062.0,,0.097,0.034
152200,South Florida State College,Avon Park,FL,27.56974,-81.508667,0.0,666,23.416797488,10455.0,,0.136,0.077
153700,University of South Florida-Main Campus,Tampa,FL,28.061458,-82.413232,0.0,8282,22.945783544,20456.0,0.4263,0.054,0.012
146800,St. Thomas University,Miami Gardens,FL,25.922071,-80.253273,0.0,249,24.237623762,41512.0,0.515,0.052,0.049
153100,Stetson University,DeLand,FL,29.035475,-81.300746,0.0,656,20.056784661,59208.0,0.6842,0.041,0.026
152100,Southeastern University,Lakeland,FL,28.029733,-81.918382,0.0,1164,23.390426328,35800.0,0.4807,0.04,0.073
3018500,Bene's Career Academy,New Port Richey,FL,28.259612,-82.728584,0.0,272,29.208,,,0.096,0.019
752500,Riveroak Technical College,Live Oak,FL,30.281999,-82.992512,0.0,86,25.533333333,,,0.0,
153300,Tallahassee Community College,Tallahassee,FL,30.443866,-84.339,0.0,3514,22.307568697,8501.0,,0.185,0.145
2508900,Talmudic College of Florida,Miami Beach,FL,25.811996,-80.136293,0.0,PrivacySuppressed,19.933333333,26650.0,,0.041,0.0
149900,Altierus Career College-Tampa,Tampa,FL,27.996582,-82.497616,0.0,10773,31.867545076,26136.0,,0.113,0.244
153800,The University of Tampa,Tampa,FL,27.948455,-82.46483,0.0,1686,20.279962547,43178.0,0.4869,0.045,0.026
3100800,Big Bend Technical College,Perry,FL,30.077954,-83.565783,0.0,52,25.9375,,,,
1082600,Tom P Haney Technical Center,Panama City,FL,30.203363,-85.646585,0.0,275,28.880851064,,,0.131,0.0
3101900,Trinity Baptist College,Jacksonville,FL,30.311171,-81.79626,0.0,170,22.528957529,21721.0,0.6962,0.052,0.076
3028200,Trinity College of Florida,Trinity,FL,28.194732,-82.678318,0.0,66,27.325203252,24745.0,0.8312,0.043,0.024
2148200,Fashion Focus Hair Academy,Sarasota,FL,27.258563,-82.517445,0.0,34,27.169230769,,,0.037,
675000,Valencia College,Orlando,FL,28.520898,-81.471466,0.0,11366,22.700196367,10688.0,,0.15,0.068
884800,Warner University,Lake Wales,FL,27.825751,-81.599972,0.0,364,25.363380282,34001.0,0.3539,0.104,0.124
752600,Florida Panhandle Technical College,Chipley,FL,30.77449,-85.553345,0.0,164,25.579124579,,,0.0,
